year,type,n
2012,n_ot_us,100.287
2012,n_ot_wrld,341.67801
2012,n_rt_lk_us,65.185997
2012,n_rt_lk_wrld,179.427
2013,n_ot_us,123.686
2013,n_ot_wrld,429.92499
2013,n_rt_lk_us,124.033
2013,n_rt_lk_wrld,380.68399
2014,n_ot_us,222.256
2014,n_ot_wrld,746.245
2014,n_rt_lk_us,357.60699
2014,n_rt_lk_wrld,1059.1479
2015,n_ot_us,318.46799
2015,n_ot_wrld,1081.811
2015,n_rt_lk_us,566.57703
2015,n_rt_lk_wrld,1879.984
2016,n_ot_us,339.57101
2016,n_ot_wrld,1159.475
2016,n_rt_lk_us,861.76501
2016,n_rt_lk_wrld,2763.7642
2017,n_ot_us,340.49799
2017,n_ot_wrld,1257.974
2017,n_rt_lk_us,1241.2739
2017,n_rt_lk_wrld,3836.687
