borough,year,n,sale_price
Bronx,2005,1417,378718.6111503176
Bronx,2006,1315,418767.369581749
Bronx,2007,973,423408.2086330935
Bronx,2008,646,410615.88699690404
Bronx,2009,574,368265.94076655054
Bronx,2010,631,377798.7036450079
Bronx,2011,578,370483.839100346
Bronx,2012,618,384196.65372168284
Bronx,2013,678,373990.407079646
Bronx,2014,765,364304.2745098039
Bronx,2015,913,403327.12157721794
Bronx,2016,996,432500.2620481928
Bronx,2017,1083,456863.6269621422
Bronx,2018,1161,474393.48578811367
Bronx,2019,1069,516759.1552853134
Bronx,2020,837,539654.6833930705
Bronx,2021,1106,622488.4303797468
Bronx,2022,1339,662059.781179985
Brooklyn,2005,3256,508364.0555896806
Brooklyn,2006,2759,546139.7517216383
Brooklyn,2007,2302,610214.0725456125
Brooklyn,2008,1676,589965.2840095465
Brooklyn,2009,1503,540516.4244843646
Brooklyn,2010,1648,581685.3877427184
Brooklyn,2011,1472,584969.8315217391
Brooklyn,2012,1679,626101.4073853485
Brooklyn,2013,2027,619693.0034533794
Brooklyn,2014,2089,719992.5931067496
Brooklyn,2015,2253,830577.0377274745
Brooklyn,2016,2333,817349.2978997
Brooklyn,2017,2408,911706.573089701
Brooklyn,2018,2183,921266.5501603298
Brooklyn,2019,2143,944511.4442370508
Brooklyn,2020,1726,986788.7873696408
Brooklyn,2021,2711,1153414.3585392844
Brooklyn,2022,2922,1171952.1971252568
Manhattan,2005,104,4801582.519230769
Manhattan,2006,95,7228916.663157894
Manhattan,2007,110,6940721.381818182
Manhattan,2008,76,7828128.97368421
Manhattan,2009,65,5879115.430769231
Manhattan,2010,99,6291775.3838383835
Manhattan,2011,76,6741374.868421053
Manhattan,2012,131,7109344.473282442
Manhattan,2013,118,6218092.415254237
Manhattan,2014,101,8553226.465346534
Manhattan,2015,106,8605088.386792453
Manhattan,2016,88,7969281.875
Manhattan,2017,98,8034268.306122449
Manhattan,2018,96,9587731.96875
Manhattan,2019,104,8871142.548076924
Manhattan,2020,71,10068400
Manhattan,2021,144,9362994.381944444
Manhattan,2022,169,8992725.621301776
Queens,2005,9819,462590.5716468072
Queens,2006,8703,499153.07859358843
Queens,2007,6940,515430.7198847262
Queens,2008,5432,464524.31995581737
Queens,2009,5104,417557.6306818182
Queens,2010,5051,419975.78043951694
Queens,2011,4409,434728.72238602856
Queens,2012,4695,445322.705857295
Queens,2013,5355,476888.25658263307
Queens,2014,5203,519488.2661925812
Queens,2015,5748,540523.4542449547
Queens,2016,5963,570766.1271172229
Queens,2017,6330,609173.2072669826
Queens,2018,6139,644335.984199381
Queens,2019,5935,648722.8731255266
Queens,2020,4698,678844.1424010217
Queens,2021,6574,756850.542896258
Queens,2022,7632,824559.0389150943
Staten Island,2005,4464,412588.1077508961
Staten Island,2006,3693,443024.4730571351
Staten Island,2007,3249,451352.39858417975
Staten Island,2008,2543,399050.3472276838
Staten Island,2009,2410,373274.9278008299
Staten Island,2010,2251,395264.01421590406
Staten Island,2011,1582,413755.59544879897
Staten Island,2012,2094,418575.9450811843
Staten Island,2013,2616,419595.247706422
Staten Island,2014,2868,406780.1764295676
Staten Island,2015,3276,422316.94902319903
Staten Island,2016,3514,449999.3890153671
Staten Island,2017,3850,487223.16935064935
Staten Island,2018,3770,519822.51299734745
Staten Island,2019,3333,532632.9537953795
Staten Island,2020,3156,567388.8688212928
Staten Island,2021,4271,610675.474127839
Staten Island,2022,4577,669660.6281407035
