inst_name,geneseo,year,earnings_med
College of Technology at Alfred,FALSE,2007,36300
College of Technology at Canton,FALSE,2007,35700
College of Technology at Delhi,FALSE,2007,35200
College of Agriculture and Technology at Cobleskill,FALSE,2007,35900
Albany,FALSE,2007,54000
Binghamton,FALSE,2007,62300
Buffalo,FALSE,2007,51500
Stony Brook,FALSE,2007,59900
College of Environmental Science and Forestry,FALSE,2007,49100
Polytechnic Institute,FALSE,2007,52500
Brockport,FALSE,2007,42200
Buffalo State,FALSE,2007,39500
Cortland,FALSE,2007,47500
Fredonia,FALSE,2007,41300
Geneseo,TRUE,2007,50700
Oneonta,FALSE,2007,45900
Oswego,FALSE,2007,45000
Potsdam,FALSE,2007,39400
Purchase College,FALSE,2007,39000
Old Westbury,FALSE,2007,42900
Plattsburgh,FALSE,2007,45400
Empire State College,FALSE,2007,39300
College of Technology at Alfred,FALSE,2009,37400
College of Technology at Canton,FALSE,2009,33800
College of Technology at Delhi,FALSE,2009,35700
College of Agriculture and Technology at Cobleskill,FALSE,2009,35400
Albany,FALSE,2009,51800
Binghamton,FALSE,2009,60600
Buffalo,FALSE,2009,49600
Stony Brook,FALSE,2009,58600
College of Environmental Science and Forestry,FALSE,2009,45000
Polytechnic Institute,FALSE,2009,48500
Brockport,FALSE,2009,42700
Buffalo State,FALSE,2009,39400
Cortland,FALSE,2009,48000
Fredonia,FALSE,2009,43100
Geneseo,TRUE,2009,50100
Oneonta,FALSE,2009,44700
Oswego,FALSE,2009,43100
Potsdam,FALSE,2009,40100
Purchase College,FALSE,2009,37700
Old Westbury,FALSE,2009,42800
Plattsburgh,FALSE,2009,43600
Empire State College,FALSE,2009,41200
College of Technology at Alfred,FALSE,2011,35300
College of Technology at Canton,FALSE,2011,31100
College of Technology at Delhi,FALSE,2011,34600
College of Agriculture and Technology at Cobleskill,FALSE,2011,34800
Albany,FALSE,2011,50900
Binghamton,FALSE,2011,58400
Buffalo,FALSE,2011,49700
Stony Brook,FALSE,2011,55500
College of Environmental Science and Forestry,FALSE,2011,44600
Polytechnic Institute,FALSE,2011,47900
Brockport,FALSE,2011,40100
Buffalo State,FALSE,2011,38900
Cortland,FALSE,2011,45300
Fredonia,FALSE,2011,40600
Geneseo,TRUE,2011,46700
Oneonta,FALSE,2011,42400
Oswego,FALSE,2011,40700
Potsdam,FALSE,2011,38000
Purchase College,FALSE,2011,34700
Old Westbury,FALSE,2011,42900
Plattsburgh,FALSE,2011,40600
Empire State College,FALSE,2011,39400
College of Technology at Alfred,FALSE,2012,36900
College of Technology at Canton,FALSE,2012,32600
College of Technology at Delhi,FALSE,2012,35800
College of Agriculture and Technology at Cobleskill,FALSE,2012,33700
Albany,FALSE,2012,50100
Binghamton,FALSE,2012,57400
Buffalo,FALSE,2012,48400
Stony Brook,FALSE,2012,55000
College of Environmental Science and Forestry,FALSE,2012,42000
Polytechnic Institute,FALSE,2012,49600
Brockport,FALSE,2012,41300
Buffalo State,FALSE,2012,38100
Cortland,FALSE,2012,45000
Fredonia,FALSE,2012,39600
Geneseo,TRUE,2012,46200
Oneonta,FALSE,2012,42300
Oswego,FALSE,2012,40800
Potsdam,FALSE,2012,36700
Purchase College,FALSE,2012,34400
Old Westbury,FALSE,2012,43200
Plattsburgh,FALSE,2012,39500
Empire State College,FALSE,2012,39300
College of Technology at Alfred,FALSE,2013,39800
College of Technology at Canton,FALSE,2013,34800
College of Technology at Delhi,FALSE,2013,36500
College of Agriculture and Technology at Cobleskill,FALSE,2013,33400
Albany,FALSE,2013,50600
Binghamton,FALSE,2013,59200
Buffalo,FALSE,2013,49900
Stony Brook,FALSE,2013,55100
College of Environmental Science and Forestry,FALSE,2013,42200
Polytechnic Institute,FALSE,2013,48300
Brockport,FALSE,2013,41200
Buffalo State,FALSE,2013,38600
Cortland,FALSE,2013,45400
Fredonia,FALSE,2013,39800
Geneseo,TRUE,2013,46700
Oneonta,FALSE,2013,42000
Oswego,FALSE,2013,41500
Potsdam,FALSE,2013,37300
Purchase College,FALSE,2013,35800
Old Westbury,FALSE,2013,43900
Plattsburgh,FALSE,2013,40300
Empire State College,FALSE,2013,40400
College of Technology at Alfred,FALSE,2014,41800
College of Technology at Canton,FALSE,2014,35700
College of Technology at Delhi,FALSE,2014,37200
College of Agriculture and Technology at Cobleskill,FALSE,2014,35000
Albany,FALSE,2014,51500
Binghamton,FALSE,2014,61600
Buffalo,FALSE,2014,52600
Stony Brook,FALSE,2014,57600
College of Environmental Science and Forestry,FALSE,2014,45600
Polytechnic Institute,FALSE,2014,51000
Brockport,FALSE,2014,42600
Buffalo State,FALSE,2014,39800
Cortland,FALSE,2014,47000
Fredonia,FALSE,2014,41700
Geneseo,TRUE,2014,48800
Oneonta,FALSE,2014,43400
Oswego,FALSE,2014,43900
Potsdam,FALSE,2014,39700
Purchase College,FALSE,2014,35200
Old Westbury,FALSE,2014,44300
Plattsburgh,FALSE,2014,42400
Empire State College,FALSE,2014,41400
College of Technology at Alfred,FALSE,2015,NA
College of Technology at Canton,FALSE,2015,NA
College of Technology at Delhi,FALSE,2015,NA
College of Agriculture and Technology at Cobleskill,FALSE,2015,NA
Albany,FALSE,2015,NA
Binghamton,FALSE,2015,NA
Buffalo,FALSE,2015,NA
Stony Brook,FALSE,2015,NA
College of Environmental Science and Forestry,FALSE,2015,NA
Polytechnic Institute,FALSE,2015,NA
Brockport,FALSE,2015,NA
Buffalo State,FALSE,2015,NA
Cortland,FALSE,2015,NA
Fredonia,FALSE,2015,NA
Geneseo,TRUE,2015,NA
Oneonta,FALSE,2015,NA
Oswego,FALSE,2015,NA
Potsdam,FALSE,2015,NA
Purchase College,FALSE,2015,NA
Old Westbury,FALSE,2015,NA
Plattsburgh,FALSE,2015,NA
Empire State College,FALSE,2015,NA
College of Technology at Alfred,FALSE,2016,NA
College of Technology at Canton,FALSE,2016,NA
College of Technology at Delhi,FALSE,2016,NA
College of Agriculture and Technology at Cobleskill,FALSE,2016,NA
Albany,FALSE,2016,NA
Binghamton,FALSE,2016,NA
Buffalo,FALSE,2016,NA
Stony Brook,FALSE,2016,NA
College of Environmental Science and Forestry,FALSE,2016,NA
Polytechnic Institute,FALSE,2016,NA
Brockport,FALSE,2016,NA
Buffalo State,FALSE,2016,NA
Cortland,FALSE,2016,NA
Fredonia,FALSE,2016,NA
Geneseo,TRUE,2016,NA
Oneonta,FALSE,2016,NA
Oswego,FALSE,2016,NA
Potsdam,FALSE,2016,NA
Purchase College,FALSE,2016,NA
Old Westbury,FALSE,2016,NA
Plattsburgh,FALSE,2016,NA
Empire State College,FALSE,2016,NA
